분류,플러그인명,한 줄 설명,사용 상황,주요 기능,대표 스킬,계정 연결,비용/플랜,주의사항
Business & Operations,Actively,"Actively을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무이(가) 필요한 작업에서 Actively 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",조회/검색/요약 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Business & Operations,Apollo,"Apollo을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무이(가) 필요한 작업에서 Apollo 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",조회/검색/요약 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Business & Operations,Attio,"Attio을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무이(가) 필요한 작업에서 Attio 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","작성/수정/생성, 빌드/실행/배포 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.",없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Business & Operations,Carta CRM,"Carta CRM을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무이(가) 필요한 작업에서 Carta CRM 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",빌드/실행/배포 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Business & Operations,Clay,"Clay을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무이(가) 필요한 작업에서 Clay 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",조회/검색/요약 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Business & Operations,Close,"Close을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무이(가) 필요한 작업에서 Close 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",조회/검색/요약 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Business & Operations,Demandbase,"Demandbase을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무이(가) 필요한 작업에서 Demandbase 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",작업 보조 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Business & Operations,Hebbia,"Hebbia을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무이(가) 필요한 작업에서 Hebbia 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",조회/검색/요약 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Business & Operations,HubSpot,"HubSpot을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무이(가) 필요한 작업에서 HubSpot 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 작성/수정/생성, 상호작용/화면 조작 중심. 대표 스킬: hubspot, hubspot-crm-data-hygiene, hubspot-customer-prep, hubspot-pipeline-health.","hubspot, hubspot-crm-data-hygiene, hubspot-customer-prep, hubspot-pipeline-health",필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음
Business & Operations,Intercom,"Intercom을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무이(가) 필요한 작업에서 Intercom 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",조회/검색/요약 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Business & Operations,Outreach,"Outreach을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무이(가) 필요한 작업에서 Outreach 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",조회/검색/요약 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Business & Operations,Pipedrive,"Pipedrive을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무이(가) 필요한 작업에서 Pipedrive 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",빌드/실행/배포 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Business & Operations,Sales,"Sales을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무, 일정 확인, 미팅 요약, 가용 시간 탐색을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무, 일정 확인, 미팅 요약, 가용 시간 탐색이(가) 필요한 작업에서 Sales 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 작성/수정/생성, 상호작용/화면 조작 중심. 대표 스킬: analyze-account-signals, apollo, build-business-case, build-competitive-brief, enrich-company-and-contact-data.","analyze-account-signals, apollo, build-business-case, build-competitive-brief, enrich-company-and-contact-data",필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음
Business & Operations,Streak,"Streak을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무, 메일 검색, 답장 초안 작성, 수신함 정리을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무, 메일 검색, 답장 초안 작성, 수신함 정리이(가) 필요한 작업에서 Streak 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",작업 보조 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Business & Operations,Zoho,"Zoho을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무이(가) 필요한 작업에서 Zoho 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",조회/검색/요약 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Business & Operations,ZoomInfo,"ZoomInfo을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무이(가) 필요한 작업에서 ZoomInfo 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",작업 보조 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Communication,Circleback,"Circleback을(를) 활용해 일정 확인, 미팅 요약, 가용 시간 탐색, 코드 저장소, 배포, 데이터베이스, 개발 워크플로을(를) Codex에서 처리하는 플러그인입니다.","일정 확인, 미팅 요약, 가용 시간 탐색, 코드 저장소, 배포, 데이터베이스, 개발 워크플로이(가) 필요한 작업에서 Circleback 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",작업 보조 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Communication,Fireflies,"Fireflies을(를) 활용해 일정 확인, 미팅 요약, 가용 시간 탐색, 앱/웹/게임 개발 및 실행 환경 구성을(를) Codex에서 처리하는 플러그인입니다.","일정 확인, 미팅 요약, 가용 시간 탐색, 앱/웹/게임 개발 및 실행 환경 구성이(가) 필요한 작업에서 Fireflies 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",조회/검색/요약 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Communication,Fyxer,"Fyxer을(를) 활용해 메일 검색, 답장 초안 작성, 수신함 정리, 일정 확인, 미팅 요약, 가용 시간 탐색을(를) Codex에서 처리하는 플러그인입니다.","메일 검색, 답장 초안 작성, 수신함 정리, 일정 확인, 미팅 요약, 가용 시간 탐색이(가) 필요한 작업에서 Fyxer 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",작성/수정/생성 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Communication,Gmail,"Gmail을(를) 활용해 메일 검색, 답장 초안 작성, 수신함 정리을(를) Codex에서 처리하는 플러그인입니다.","메일 검색, 답장 초안 작성, 수신함 정리이(가) 필요한 작업에서 Gmail 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 작성/수정/생성, 상호작용/화면 조작 중심. 대표 스킬: gmail, gmail-inbox-triage.","gmail, gmail-inbox-triage",필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음
Communication,Granola,"Granola을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무, 일정 확인, 미팅 요약, 가용 시간 탐색을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무, 일정 확인, 미팅 요약, 가용 시간 탐색이(가) 필요한 작업에서 Granola 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",조회/검색/요약 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Communication,Otter.ai,"Otter.ai을(를) 활용해 일정 확인, 미팅 요약, 가용 시간 탐색을(를) Codex에서 처리하는 플러그인입니다.","일정 확인, 미팅 요약, 가용 시간 탐색이(가) 필요한 작업에서 Otter.ai 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",조회/검색/요약 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Communication,Outlook Email,"Outlook Email을(를) 활용해 메일 검색, 답장 초안 작성, 수신함 정리을(를) Codex에서 처리하는 플러그인입니다.","메일 검색, 답장 초안 작성, 수신함 정리이(가) 필요한 작업에서 Outlook Email 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 작성/수정/생성, 상호작용/화면 조작 중심. 대표 스킬: outlook-email, outlook-email-inbox-triage, outlook-email-reply-drafting, outlook-email-shared-mailboxes, outlook-email-subscription-cleanup.","outlook-email, outlook-email-inbox-triage, outlook-email-reply-drafting, outlook-email-shared-mailboxes, outlook-email-subscription-cleanup",필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음
Communication,Read AI,"Read AI을(를) 활용해 일정 확인, 미팅 요약, 가용 시간 탐색을(를) Codex에서 처리하는 플러그인입니다.","일정 확인, 미팅 요약, 가용 시간 탐색이(가) 필요한 작업에서 Read AI 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 빌드/실행/배포 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.",없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Communication,Slack,Slack을(를) 활용해 커뮤니케이션을(를) Codex에서 처리하는 플러그인입니다.,커뮤니케이션이(가) 필요한 작업에서 Slack 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.,"조회/검색/요약, 작성/수정/생성, 상호작용/화면 조작 중심. 대표 스킬: slack, slack-channel-summarization, slack-daily-digest, slack-notification-triage, slack-outgoing-message.","slack, slack-channel-summarization, slack-daily-digest, slack-notification-triage, slack-outgoing-message",필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음
Communication,Superhuman Mail,"Superhuman Mail을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무, 메일 검색, 답장 초안 작성, 수신함 정리을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무, 메일 검색, 답장 초안 작성, 수신함 정리이(가) 필요한 작업에서 Superhuman Mail 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 작성/수정/생성, 상호작용/화면 조작 중심. 대표 스킬: batch-draft-writer, deal-tracker, eod-wrapup, meeting-scheduler, morning-briefing.","batch-draft-writer, deal-tracker, eod-wrapup, meeting-scheduler, morning-briefing",필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음
Communication,Teams,Teams을(를) 활용해 커뮤니케이션을(를) Codex에서 처리하는 플러그인입니다.,커뮤니케이션이(가) 필요한 작업에서 Teams 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.,"조회/검색/요약, 작성/수정/생성, 상호작용/화면 조작 중심. 대표 스킬: teams, teams-channel-summarization, teams-daily-digest, teams-messages, teams-notification-triage.","teams, teams-channel-summarization, teams-daily-digest, teams-messages, teams-notification-triage",필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음
Communication,Zoom,"Zoom을(를) 활용해 CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무, 일정 확인, 미팅 요약, 가용 시간 탐색을(를) Codex에서 처리하는 플러그인입니다.","CRM, 영업 파이프라인, 계정/리드 조사, GTM 업무, 일정 확인, 미팅 요약, 가용 시간 탐색이(가) 필요한 작업에서 Zoom 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 작성/수정/생성, 빌드/실행/배포, 상호작용/화면 조작 중심. 대표 스킬: build-zoom-bot, build-zoom-contact-center-app, build-zoom-meeting-app, build-zoom-meeting-sdk-app, build-zoom-phone-integration.","build-zoom-bot, build-zoom-contact-center-app, build-zoom-meeting-app, build-zoom-meeting-sdk-app, build-zoom-phone-integration",필요 가능성 높음,외부 유료 플랜/API 과금 가능,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 외부 유료 플랜/API 과금 가능. 외부 앱/커넥터 인증이 필요할 수 있음
Creativity,BioRender,"BioRender을(를) 활용해 데이터 분석, KPI 진단, 리포트/대시보드 작성, 코드 저장소, 배포, 데이터베이스, 개발 워크플로을(를) Codex에서 처리하는 플러그인입니다.","데이터 분석, KPI 진단, 리포트/대시보드 작성, 코드 저장소, 배포, 데이터베이스, 개발 워크플로이(가) 필요한 작업에서 BioRender 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.",작성/수정/생성 중심. 내부 스킬 설명서가 없거나 커넥터 중심으로 동작.,없음,필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음 / 내부 스킬 설명서 없음
Creativity,Canva,"Canva을(를) 활용해 문서, 표, 발표자료, 파일 기반 작업, 이미지, 영상, 미디어, 디자인 콘텐츠 제작을(를) Codex에서 처리하는 플러그인입니다.","문서, 표, 발표자료, 파일 기반 작업, 이미지, 영상, 미디어, 디자인 콘텐츠 제작이(가) 필요한 작업에서 Canva 데이터나 기능을 불러오거나 결과물을 만들 때 사용합니다.","조회/검색/요약, 작성/수정/생성 중심. 대표 스킬: canva-branded-presentation, canva-resize-for-all-social-media, canva-translate-design.","canva-branded-presentation, canva-resize-for-all-social-media, canva-translate-design",필요 가능성 높음,확인 필요,필요 가능성 높음; 외부 서비스 인증 또는 권한 확인 필요. 비용/플랜: 무료/유료 여부는 메타데이터만으로 단정 불가. 외부 앱/커넥터 인증이 필요할 수 있음
